id,category,app,what_it_does,auth,access,api_surface,buildability,main_blocker,evidence_url
1,CRM & Sales,Salesforce,Salesforce is a crm & sales product used to manage or automate work in its domain.,OAuth2,Developer Edition + org setup,REST + GraphQL/Connect,Buildable,Org/app configuration,https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html
2,CRM & Sales,HubSpot,HubSpot is a crm & sales product used to manage or automate work in its domain.,OAuth2; private token,Self-serve developer/test,Broad REST,Buildable,Scopes/app setup,https://developers.hubspot.com/docs/api/overview
3,CRM & Sales,Pipedrive,Pipedrive is a crm & sales product used to manage or automate work in its domain.,OAuth2; API token,Self-serve,Broad REST,Buildable,Account/app setup,https://developers.pipedrive.com/docs/api/v1/
4,CRM & Sales,Attio,Attio is a crm & sales product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://docs.attio.com/
5,CRM & Sales,Twenty,Twenty is a crm & sales product used to manage or automate work in its domain.,API key/token,Open-source/self-hosted,REST,Buildable,Hosting if self-hosted,https://docs.twenty.com/
6,CRM & Sales,Podio,Podio is a crm & sales product used to manage or automate work in its domain.,OAuth2,App registration,REST,Buildable,OAuth app registration,https://developers.podio.com/authentication
7,CRM & Sales,Zoho CRM,Zoho CRM is a crm & sales product used to manage or automate work in its domain.,OAuth2 / token,Account or developer signup,Documented API surface,Conditional,Access/plan needs confirmation,https://www.zoho.com/crm/developer/docs/api/v8/
8,CRM & Sales,Close,Close is a crm & sales product used to manage or automate work in its domain.,API key + Basic; OAuth2,API key self-serve,REST,Buildable,OAuth for multi-user,https://developer.close.com/api/overview/api-key-authentication
9,CRM & Sales,Copper,Copper is a crm & sales product used to manage or automate work in its domain.,API key; OAuth2,API key self-serve; OAuth partner gate,REST,Buildable with gate,OAuth registration/contact,https://developer.copper.com/introduction/authentication.html
10,CRM & Sales,DealCloud,DealCloud is a crm & sales product used to manage or automate work in its domain.,OAuth2 / token,Enterprise/customer access,REST,Conditional,Tenant access,https://api.docs.dealcloud.com/
11,Support & Helpdesk,Zendesk,Zendesk is a support & helpdesk product used to manage or automate work in its domain.,OAuth2; API token legacy,Developer/account access,Broad REST,Buildable with gate,Global OAuth/app requirements,https://developer.zendesk.com/documentation/authentication/
12,Support & Helpdesk,Intercom,Intercom is a support & helpdesk product used to manage or automate work in its domain.,OAuth2; access token,Private token self-serve; public OAuth,Broad REST,Buildable,Public app scopes,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication
13,Support & Helpdesk,Freshdesk,Freshdesk is a support & helpdesk product used to manage or automate work in its domain.,API key; OAuth2,Account/plan dependent,REST,Buildable,Plan/account,https://developers.freshdesk.com/api/
